Age,Males,Females,Total,
Under 1 month,77630,76214,153844,
1 to 2 months,168477,164575,333052,
3 to 5 months,251511,245783,497294,
6 to 8 months,240887,236107,476994,
9 to 11 months,232882,226921,459803,
1,895051,876524,1771575,
2,927228,906960,1834188,
3,922343,905828,1828171,
4,927254,907273,1834527,
5,914620,897338,1811958,
6,924545,911298,1835843,
7,901913,883952,1785865,
8,899234,884275,1783509,
9,846863,825301,1672164,
10,883519,859864,1743383,
11,799238,785842,1585080,
12,829325,810680,1640005,
13,782593,769944,1552537,
14,794643,776303,1570946,
15,770768,764741,1535509,
16,779098,785173,1564271,
17,745444,746978,1492422,
18,757484,781701,1539185,
19,713186,732751,1445937,
20,743687,797487,1541174,
21,739047,699080,1438127,
22,745491,757356,1502847,
23,721847,730062,1451909,
24,734301,734125,1468426,
25,745136,745156,1490292,
26,673529,650646,1324175,
27,666166,627265,1293431,
28,684941,636526,1321467,
29,599305,554536,1153841,
30,777266,698967,1476233,
31,502398,460414,962812,
32,579386,529479,1108865,
33,543950,492829,1036779,
34,528037,478819,1006856,
35,608152,535242,1143394,
36,492186,444962,937148,
37,475287,428358,903645,
38,551768,489956,1041724,
39,509041,453649,962690,
40,643551,559421,1202972,
41,393935,342068,736003,
42,451803,395534,847337,
43,390257,350288,740545,
44,389225,346866,736091,
45,476468,407395,883863,
46,349745,303395,653140,
47,337687,296305,633992,
48,349707,315886,665593,
49,331628,295918,627546,
50,454433,410314,864747,
51,276208,235338,511546,
52,310129,263101,573230,
53,264837,231444,496281,
54,263666,239517,503183,
55,297606,273290,570896,
56,244362,221109,465471,
57,207971,192220,400191,
58,202677,194609,397286,
59,195194,185584,380778,
60,275887,273779,549666,
61,149551,138560,288111,
62,172424,159645,332069,
63,167699,155754,323453,
64,154084,147271,301355,
65,178781,176088,354869,
66,137326,128136,265462,
67,130733,119441,250174,
68,115525,110727,226252,
69,106384,101311,207695,
70,134875,139101,273976,
71,79615,73120,152735,
72,88558,83001,171559,
73,77002,71785,148787,
74,70110,67570,137680,
75,76749,78695,155444,
76,56162,54523,110685,
77,47750,45816,93566,
78,43841,42930,86771,
79,37361,36509,73870,
80,42061,47055,89116,
81,25294,24457,49751,
82,22283,22574,44857,
83,17428,18535,35963,
84,15388,16757,32145,
85,13439,15625,29064,
86,9060,10648,19708,
87,7811,8944,16755,
88,6058,7143,13201,
89,4431,5537,9968,
90,4574,6885,11459,
91,1923,2463,4386,
92,1556,2075,3631,
93,1041,1553,2594,
94,794,1204,1998,
95,877,1428,2305,
96,522,774,1296,
97,343,557,900,
98,366,661,1027,
99,324,446,770,
100+,1289,2247,3536,
