DATE,HCIYISUSA066NRUG
1950-01-01,2.5832128524780273
1951-01-01,2.5959999561309814
1952-01-01,2.6088502407073975
1953-01-01,2.6217644214630127
1954-01-01,2.634742498397827
1955-01-01,2.647784471511841
1956-01-01,2.6623172760009766
1957-01-01,2.6769299507141113
1958-01-01,2.691622734069824
1959-01-01,2.7063961029052734
1960-01-01,2.721250534057617
1961-01-01,2.7555551528930664
1962-01-01,2.7902920246124268
1963-01-01,2.8254668712615967
1964-01-01,2.8610851764678955
1965-01-01,2.8971524238586426
1966-01-01,2.928370714187622
1967-01-01,2.959925413131714
1968-01-01,2.9918198585510254
1969-01-01,3.0240583419799805
1970-01-01,3.0566439628601074
1971-01-01,3.0898852348327637
1972-01-01,3.123487710952759
1973-01-01,3.1574559211730957
1974-01-01,3.191793441772461
1975-01-01,3.226504325866699
1976-01-01,3.249995708465576
1977-01-01,3.273658037185669
1978-01-01,3.297492504119873
1979-01-01,3.321500778198242
1980-01-01,3.3456838130950928
1981-01-01,3.354768991470337
1982-01-01,3.3638789653778076
1983-01-01,3.373013734817505
1984-01-01,3.3821732997894287
1985-01-01,3.391357660293579
1986-01-01,3.4000606536865234
1987-01-01,3.4087860584259033
1988-01-01,3.4175336360931396
1989-01-01,3.4263038635253906
1990-01-01,3.435096502304077
1991-01-01,3.4523024559020996
1992-01-01,3.469594955444336
1993-01-01,3.486973524093628
1994-01-01,3.50443959236145
1995-01-01,3.5219931602478027
1996-01-01,3.5332388877868652
1997-01-01,3.544520616531372
1998-01-01,3.5558385848999023
1999-01-01,3.567192554473877
2000-01-01,3.578582525253296
2001-01-01,3.5883371829986572
2002-01-01,3.598118543624878
2003-01-01,3.6079261302948
2004-01-01,3.6177608966827393
2005-01-01,3.627622365951538
2006-01-01,3.642328977584839
2007-01-01,3.657094717025757
2008-01-01,3.6719207763671875
2009-01-01,3.6868066787719727
2010-01-01,3.7017533779144287
2011-01-01,3.7070109844207764
2012-01-01,3.712275981903076
2013-01-01,3.7175486087799072
2014-01-01,3.7228286266326904
2015-01-01,3.728116273880005
2016-01-01,3.7334113121032715
2017-01-01,3.7387139797210693
