1950 - 1955,20029
1955 - 1960,21926
1960 - 1965,21385
1965 - 1970,18362
1970 - 1975,16710
1975 - 1980,16613
1980 - 1985,18113
1985 - 1990,19417
1990 - 1995,20181
1995 - 2000,19746
2000 - 2005,20438
2005 - 2010,21040
2010 - 2015,19898
2015 - 2020,20601
2020 - 2025,21202
2025 - 2030,21377
2030 - 2035,21476
2035 - 2040,21723
2040 - 2045,22020
2045 - 2050,22426
2050 - 2055,22870
2055 - 2060,23183
2060 - 2065,23347
2065 - 2070,23488
2070 - 2075,23656
2075 - 2080,23856
2080 - 2085,24044
2085 - 2090,24174
2090 - 2095,24226
2095 - 2100,24224
